"UPC","HSY Item Description","Hsy Seasonal Segmentation","Store Nbr","Store Name","Building City","Building State/Prov","Building Postal Code","Store Type","WM Date","SeasonAndYear","OH Qty","POS Qty","POS Sales","MSO"
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",151,"MCALESTER OK","MCALESTER","OK",74501,"Supercenter","4/1/2018 12:00:00 AM","EAS2018",0,1,2.48,14.4165582929925
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",153,"NEW ALBANY MS","NEW ALBANY","MS",38652,"Supercenter","3/4/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",153,"NEW ALBANY MS","NEW ALBANY","MS",38652,"Supercenter","3/7/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",153,"NEW ALBANY MS","NEW ALBANY","MS",38652,"Supercenter","3/10/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",153,"NEW ALBANY MS","NEW ALBANY","MS",38652,"Supercenter","3/13/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",153,"NEW ALBANY MS","NEW ALBANY","MS",38652,"Supercenter","3/17/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",153,"NEW ALBANY MS","NEW ALBANY","MS",38652,"Supercenter","3/20/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",153,"NEW ALBANY MS","NEW ALBANY","MS",38652,"Supercenter","3/23/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",153,"NEW ALBANY MS","NEW ALBANY","MS",38652,"Supercenter","3/26/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",467,"DENTON TX","DENTON","TX",76205,"Supercenter","3/24/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",467,"DENTON TX","DENTON","TX",76205,"Supercenter","3/27/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",154,"ABINGDON VA","ABINGDON","VA",24211,"Supercenter","3/20/2018 12:00:00 AM","EAS2018",0,0,0,1.73432280216451
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",154,"ABINGDON VA","ABINGDON","VA",24211,"Supercenter","3/23/2018 12:00:00 AM","EAS2018",0,0,0,2.28834258618928
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",154,"ABINGDON VA","ABINGDON","VA",24211,"Supercenter","3/30/2018 12:00:00 AM","EAS2018",0,0,0,7.08045434831443
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",813,"BROWNWOOD TX","BROWNWOOD","TX",76801,"Supercenter","4/1/2018 12:00:00 AM","EAS2018",0,0,0,7.20827914649623
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",164,"PONTOTOC MS","PONTOTOC","MS",38863,"Supercenter","3/23/2018 12:00:00 AM","EAS2018",0,0,0,2.66973301722083
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",814,"OKEECHOBEE, FL","OKEECHOBEE","FL",34974,"Supercenter","3/30/2018 12:00:00 AM","EAS2018",0,0,0,23.6015144943814
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",174,"ROCKLEDGE FL","COCOA","FL",32922,"Supercenter","3/28/2018 12:00:00 AM","EAS2018",0,1,2.48,5.04282903252823
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",65,"SULLIVAN MO","SULLIVAN","MO",63080,"Supercenter","2/13/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",65,"SULLIVAN MO","SULLIVAN","MO",63080,"Supercenter","2/16/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",65,"SULLIVAN MO","SULLIVAN","MO",63080,"Supercenter","2/19/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",95,"DESLOGE MO","DESLOGE","MO",63601,"Supercenter","2/11/2018 12:00:00 AM","EAS2018",0,0,0,0
1070051811,"JR Wldbry Jelly Bean Med 14OZ","EAS $2.48 Non Chocolate",95,"DESLOGE MO","DESLOGE","MO",63601,"Supercenter","2/14/2018 12:00:00 AM","EAS2018",0,0,0,0
1070006638,"Whprs Rbn Egg 13.75OZ","EAS $2.98 Candy Dish",1,"ROGERS, AR","ROGERS","AR",72756,"Supercenter","2/4/2018 12:00:00 AM","EAS2018",0,0,0,17.0353978819993
1070006638,"Whprs Rbn Egg 13.75OZ","EAS $2.98 Candy Dish",1,"ROGERS, AR","ROGERS","AR",72756,"Supercenter","2/7/2018 12:00:00 AM","EAS2018",0,0,0,16.6568334846215
1070006638,"Whprs Rbn Egg 13.75OZ","EAS $2.98 Candy Dish",1,"ROGERS, AR","ROGERS","AR",72756,"Supercenter","2/6/2018 12:00:00 AM","EAS2018",0,0,0,18.2150913899962
1070006638,"Whprs Rbn Egg 13.75OZ","EAS $2.98 Candy Dish",1,"ROGERS, AR","ROGERS","AR",72756,"Supercenter","2/1/2018 12:00:00 AM","EAS2018",0,0,0,7.29816262729948
1070006638,"Whprs Rbn Egg 13.75OZ","EAS $2.98 Candy Dish",2,"HARRISON AR","HARRISON","AR",72601,"Supercenter","2/1/2018 12:00:00 AM","EAS2018",0,0,0,10.6383875288221
1070006638,"Whprs Rbn Egg 13.75OZ","EAS $2.98 Candy Dish",2,"HARRISON AR","HARRISON","AR",72601,"Supercenter","2/4/2018 12:00:00 AM","EAS2018",0,0,0,24.8321630568328
